author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ПИК;developer;https://www.cian.ru/sale/flat/311628928/;Москва;sale;flat;1;24;2;44.2;14891245;;;68.4;Саларьево;Саларьево Парк ЖК
ПИК;developer;https://www.cian.ru/sale/flat/315782519/;Москва;sale;flat;28;32;2;49.5;14904648;Алтуфьевский;;2.2;Отрадное;Алтуфьевское 53 ЖК
;;https://www.cian.ru/sale/flat/314714393/;Москва;sale;flat;4;10;2;50.4;14800000;Кунцево;4-я Мякининская ;27;Строгино;Клубный дом Рублево
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/315457220/;Москва;sale;flat;17;22;2;60.6;14868647;;;к4;Рассказовка;Город-парк Первый Московский
WHITE BROKER;real_estate_agent;https://www.cian.ru/sale/flat/315762406/;Москва;sale;flat;10;14;2;52.0;15000000;Москворечье-Сабурово; Кошкина;17К1;Москворечье;
OPENCITY;real_estate_agent;https://www.cian.ru/sale/flat/315870089/;Москва;sale;flat;12;14;2;50.7;14950000;Северный;Долгопрудная аллея;15к5;Долгопрудная;Мой адрес в Северном
МИЦ-Столичный ипотечный центр недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/315250820/;Москва;sale;flat;3;4;2;39.0;15000000;Академический;проспект 60-летия Октября;27К1;Академическая;
МИЦ-Столичный ипотечный центр недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/312607848/;Москва;sale;flat;8;9;2;42.9;15000000;Савеловский;Петровско-Разумовский проезд;18;Петровский Парк;
Основа;developer;https://www.cian.ru/sale/flat/307003178/;Москва;sale;flat;12;20;2;57.0;14979600;Северный;Долгопрудненское шоссе;3А;Новодачная;ФизтехСити
Основа;developer;https://www.cian.ru/sale/flat/315116498/;Москва;sale;flat;3;29;2;43.3;14999120;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
3SGroup;developer;https://www.cian.ru/sale/flat/299379407/;Москва;sale;flat;12;17;2;62.7;14995897;; Разведчика Дейча;;Корниловская;FOREVILLE
Колди;developer;https://www.cian.ru/sale/flat/304854976/;Москва;sale;flat;20;21;2;50.28;15002822;Нижегородский;Автомобильный проезд;4;Калитники;N’ICE LOFT
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/314672538/;Москва;sale;flat;5;19;2;65.8;14961510;;;4;Филатов Луг;Город-парк Первый Московский
Дарья Батова;realtor;https://www.cian.ru/sale/flat/312587558/;Москва;sale;flat;3;9;2;38.0;14990000;Останкинский;Звездный бульвар;10;ВДНХ;
А101;developer;https://www.cian.ru/sale/flat/315220479/;Москва;sale;flat;11;18;2;50.2;15027872;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/315220489/;Москва;sale;flat;14;18;2;50.7;15060435;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/314672681/;Москва;sale;flat;19;22;2;60.8;14998593;;;к3;Рассказовка;Город-парк Первый Московский
1-й ДСК;developer;https://www.cian.ru/sale/flat/308023547/;Москва;sale;flat;2;18;2;59.3;;;;1;Корниловская;1-й Ясеневский ЖК
ПИК;developer;https://www.cian.ru/sale/flat/314050222/;Москва;sale;flat;5;24;2;48.5;14999304;;;68.4;Саларьево;Саларьево Парк ЖК
ТПУ Рассказовка;developer;https://www.cian.ru/sale/flat/313624929/;Москва;sale;flat;8;19;2;53.38;15047897;;;к1;Рассказовка;Городские Истории ЖК
ПИК;developer;https://www.cian.ru/sale/flat/312497558/;Москва;sale;flat;6;19;2;50.3;15090000;Гольяново;;1.2;Черкизовская;2-й Иртышский ЖК
;;https://www.cian.ru/sale/flat/314755919/;Москва;sale;flat;7;14;2;55.93;14997414;;проспект Куприна;40с7;Летово;Эко Бунино
Юникей;developer;https://www.cian.ru/sale/flat/315690256/;Москва;sale;flat;16;30;2;61.4;15082910;;;;Потапово;Новые Смыслы ЖК
1-й ДСК;developer;https://www.cian.ru/sale/flat/316094223/;Москва;sale;flat;6;13;2;53.0;;Молжаниновский;Ленинградское шоссе;228к1;Химки;1-й Ленинградский
1-й ДСК;developer;https://www.cian.ru/sale/flat/315511904/;Москва;sale;flat;2;25;2;60.6;;;;;Румянцево;1-й Саларьевский ЖК
1-й ДСК;developer;https://www.cian.ru/sale/flat/304778252/;Москва;sale;flat;2;14;2;51.5;;;;1;Саларьево;1-й Саларьевский ЖК
ПИК;developer;https://www.cian.ru/sale/flat/316041142/;Москва;sale;flat;4;32;2;50.6;14957157;Алтуфьевский;;2.2;Отрадное;Алтуфьевское 53 ЖК
