author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
РСГ-Академическое;developer;https://ekb.cian.ru/sale/flat/314319213/;Екатеринбург;sale;flat;9;16;2;49.87;7732000;;;;Чкаловская;Новая Олимпика ЖК
WHITE BROKER;real_estate_agent;https://ekb.cian.ru/sale/flat/314494231/;Екатеринбург;sale;flat;13;25;2;56.0;6600000;Ленинский; Академика Постовского;17А;Чкаловская;
РСГ-Академическое;developer;https://ekb.cian.ru/sale/flat/314463941/;Екатеринбург;sale;flat;7;10;2;48.0;8544062;; Академика Ландау;53;Чкаловская;Кварталы Конструктивизма
Форум-групп;developer;https://ekb.cian.ru/sale/flat/315591488/;Екатеринбург;sale;flat;10;24;2;58.8;12200000;Железнодорожный; Одинарка;6;Динамо;Ольховский парк
Философия Идеалистов;developer;https://ekb.cian.ru/sale/flat/298650634/;Екатеринбург;sale;flat;2;16;2;53.83;9167249;Верх-Исетский;Юго-Западный жилрайон;;Геологическая;Философия Идеалистов на Черкасской ЖК
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/313999363/;Екатеринбург;sale;flat;3;5;2;42.2;6900000;Центр; Антона Валека;19;Площадь 1905 года;
Форум-групп;developer;https://ekb.cian.ru/sale/flat/305176984/;Екатеринбург;sale;flat;13;29;2;62.7;16106075;Центр;Центральный жилрайон;;Площадь 1905 года;Форма ЖК
Самолет Плюс Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/315247779/;Екатеринбург;sale;flat;5;19;2;48.4;6990000;Орджоникидзевский; Учителей;33;Машиностроителей;Основинские кварталы
ЛСР. Недвижимость;developer;https://ekb.cian.ru/sale/flat/312865666/;Екатеринбург;sale;flat;2;16;2;49.9;7783102;Верх-Исетский;Жилой комплекс Зеленый остров;;Площадь 1905 года;Зеленый остров
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/314463660/;Екатеринбург;sale;flat;14;26;2;75.6;7100000;Октябрьский;переулок Базовый;48;Ботаническая;
Форум-групп;developer;https://ekb.cian.ru/sale/flat/313927307/;Екатеринбург;sale;flat;17;25;2;43.06;7800491;Орджоникидзевский; Энтузиастов;;Уралмаш;Доминанта
Макромир Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/314318194/;Екатеринбург;sale;flat;1;18;2;57.3;7150000;; Академика Парина;13/2;Чкаловская;Притяжение
Лето на Титова;developer;https://ekb.cian.ru/sale/flat/308253602/;Екатеринбург;sale;flat;2;27;2;37.4;6913390;Чкаловский;Лето на Титова жилой квартал;;Ботаническая;Лето на Титова
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/314938548/;Екатеринбург;sale;flat;26;31;2;47.1;11500000;Ленинский; Академика Бардина;26А;Чкаловская;Дом на Бардина
Принцип недвижимость;real_estate_agent;https://ekb.cian.ru/sale/flat/310140309/;Екатеринбург;sale;flat;14;25;2;55.5;7390000;; Краснолесья;100/2;Геологическая;Первый Академ
СКМ Девелопмент;developer;https://ekb.cian.ru/sale/flat/306995643/;Екатеринбург;sale;flat;2;15;2;68.93;11160000;Верх-Исетский; Викулова;41Б;Площадь 1905 года;Дом Викулов
АРСЕНАЛ;real_estate_agent;https://ekb.cian.ru/sale/flat/313996306/;Екатеринбург;sale;flat;6;8;2;54.61;7800000;; Косотурская;1В/2;Геологическая;
ЛСР. Недвижимость;developer;https://ekb.cian.ru/sale/flat/313042933/;Екатеринбург;sale;flat;2;15;2;57.5;7748527;Кировский;Комсомольский жилрайон;;Чкаловская;Малахит ЖК
Макромир Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/313771787/;Екатеринбург;sale;flat;2;32;2;63.8;8175000;Октябрьский; Белинского;177Ак3;Ботаническая;
ЛСР. Недвижимость;developer;https://ekb.cian.ru/sale/flat/313723635/;Екатеринбург;sale;flat;20;24;2;47.1;6452181;;;;Чкаловская;Меридиан ЖК
Самолет Плюс Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/315552562/;Екатеринбург;sale;flat;7;12;2;56.6;8459000;Чкаловский;бульвар Золотистый;15;Ботаническая;Жилой район Солнечный
ЖилСтрой;developer;https://ekb.cian.ru/sale/flat/313564723/;Екатеринбург;sale;flat;13;25;2;55.13;7749000;; Очеретина;16;Чкаловская;Горки
TETRIS Group;developer;https://ekb.cian.ru/sale/flat/313992065/;Екатеринбург;sale;flat;17;32;2;39.27;5632104;Орджоникидзевский;;;Проспект Космонавтов;Квартал Моменты на Космонавтов
АЗБУКА НЕДВИЖИМОСТИ;real_estate_agent;https://ekb.cian.ru/sale/flat/309426555/;Екатеринбург;sale;flat;6;19;2;68.4;8690000;Кировский; Библиотечная;45;Площадь 1905 года;Микрорайон 
BAZA Development;representative_developer;https://ekb.cian.ru/sale/flat/314553587/;Екатеринбург;sale;flat;1;29;2;69.81;8100000;Кировский; Владимира Высоцкого;7А;Динамо;Квартал-парк Каменные Палатки
Новосёл;real_estate_agent;https://ekb.cian.ru/sale/flat/313782404/;Екатеринбург;sale;flat;1;5;2;44.0;4600000;Верх-Исетский; Металлургов;42;Геологическая;
Город мечты;real_estate_agent;https://ekb.cian.ru/sale/flat/315386433/;Екатеринбург;sale;flat;10;25;2;34.4;3700000;Октябрьский; Латвийская;58/4;Геологическая;Хрустальные Ключи
Новосёл;real_estate_agent;https://ekb.cian.ru/sale/flat/315950031/;Екатеринбург;sale;flat;4;9;2;43.0;4100000;Чкаловский; Военная;10;Ботаническая;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313517828/;Екатеринбург;sale;flat;5;9;2;80.6;28948000;Центр; Михаила Ананьева;;Динамо;Клубный дом инженера Ятеса
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/312753973/;Екатеринбург;sale;flat;1;4;2;38.0;4119999;Железнодорожный; Армавирская;22;Машиностроителей;
ГРАНАТ;real_estate_agent;https://ekb.cian.ru/sale/flat/314929279/;Екатеринбург;sale;flat;1;9;2;43.0;3880000;Кировский;бульвар Сиреневый;5;Площадь 1905 года;
М2;real_estate_agent;https://ekb.cian.ru/sale/flat/310661067/;Екатеринбург;sale;flat;3;32;2;72.7;12950000;; Московская;190;Чкаловская;
Уральский Дом Недвижимости;real_estate_agent;https://ekb.cian.ru/sale/flat/314470733/;Екатеринбург;sale;flat;3;5;2;28.7;3900000;Кировский; Кулибина;3;Динамо;
ID 129347738;developer;https://ekb.cian.ru/sale/flat/315553367/;Екатеринбург;sale;flat;8;15;2;72.49;8667300;Чкаловский;;;Ботаническая;Жилой район Солнечный
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/315282568/;Екатеринбург;sale;flat;5;5;2;43.9;5200000;Октябрьский; Мичурина;206;Геологическая;
ID 15663092;realtor;https://ekb.cian.ru/sale/flat/315349074/;Екатеринбург;sale;flat;2;5;2;43.0;4300000;; Белинского;152к1;Чкаловская;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/314454559/;Екатеринбург;sale;flat;3;24;2;83.8;15943500;Центр; Большакова;66;Геологическая;RedRock
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/309974980/;Екатеринбург;sale;flat;15;17;2;66.2;14000000;Ленинский; Шаумяна;20;Чкаловская;Южные кварталы
Ривьера-Инвест-Екб;developer;https://ekb.cian.ru/sale/flat/309612511/;Екатеринбург;sale;flat;13;21;2;73.5;9603657;Орджоникидзевский;переулок Черниговский;20;Уралмаш;Белая башня
Макромир Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/310764440/;Екатеринбург;sale;flat;5;5;2;45.0;4450000;Орджоникидзевский; Машиностроителей;31;Уралмаш;
Ориентир. Недвижимость;real_estate_agent;https://ekb.cian.ru/sale/flat/315949916/;Екатеринбург;sale;flat;5;5;2;44.8;4500000;Орджоникидзевский; Индустрии;94Б;Проспект Космонавтов;
РАЗУМ;developer;https://ekb.cian.ru/sale/flat/312779240/;Екатеринбург;sale;flat;1;12;2;46.01;7560000;;;;Чкаловская;Разум в Академическом
Ориентир. Недвижимость;real_estate_agent;https://ekb.cian.ru/sale/flat/315683602/;Екатеринбург;sale;flat;2;9;2;48.0;4490000;Чкаловский; Патриса Лумумбы;38;Ботаническая;
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/304434243/;Екатеринбург;sale;flat;19;26;2;80.0;7800000;Октябрьский;переулок Базовый;54;Ботаническая;
АТОМ;developer;https://ekb.cian.ru/sale/flat/314536196/;Екатеринбург;sale;flat;5;30;2;53.74;9250000;Чкаловский;;;Ботаническая;Река. Дом на набережной ЖК
Практика;developer;https://ekb.cian.ru/sale/flat/313061175/;Екатеринбург;sale;flat;5;21;2;36.09;5870113;Орджоникидзевский; Шефская;42;Проспект Космонавтов;На Шефской
ID 20129101;homeowner;https://ekb.cian.ru/sale/flat/308585855/;Екатеринбург;sale;flat;2;26;2;56.6;6790000;; Николая Кичигина;9;Геологическая;NOVA park
Стройтэк;developer;https://ekb.cian.ru/sale/flat/313227833/;Екатеринбург;sale;flat;4;18;2;56.75;6934850;Железнодорожный; Софьи Перовской;106А;Уральская;Абрикос
ID 113494906;homeowner;https://ekb.cian.ru/sale/flat/312250196/;Екатеринбург;sale;flat;3;9;2;48.0;6900000;Кировский; Сыромолотова;20;Площадь 1905 года;
АТОМ;developer;https://ekb.cian.ru/sale/flat/311514193/;Екатеринбург;sale;flat;23;26;2;100.78;20100000;Кировский; Гагарина;9;Динамо;DISCOVERY RESIDENCE
ID 105562168;homeowner;https://ekb.cian.ru/sale/flat/315323830/;Екатеринбург;sale;flat;3;5;2;42.2;7200900;Октябрьский; Бажова;189;Геологическая;
РАЗУМ;developer;https://ekb.cian.ru/sale/flat/310510233/;Екатеринбург;sale;flat;9;24;2;47.59;7530000;;;;Чкаловская;Разум в Академическом
ID 107535663;homeowner;https://ekb.cian.ru/sale/flat/295293394/;Екатеринбург;sale;flat;5;5;2;45.0;7300000;; Щорса;64;Чкаловская;
Стройтэк;developer;https://ekb.cian.ru/sale/flat/278947113/;Екатеринбург;sale;flat;23;33;2;54.99;9623195;Кировский; Блюхера;40А;Уральская;Современник
ЛИНК;real_estate_agent;https://ekb.cian.ru/sale/flat/314588659/;Екатеринбург;sale;flat;2;5;2;58.3;7390000;Октябрьский; Луначарского;217;Геологическая;
Железно;developer;https://ekb.cian.ru/sale/flat/313394827/;Екатеринбург;sale;flat;2;8;2;54.0;;;;;Чкаловская;Лес ЖК
ID 129785099;realtor;https://ekb.cian.ru/sale/flat/316064675/;Екатеринбург;sale;flat;4;16;2;58.0;7499000;Кировский; Новгородцевой;13Б;;
Ривьера-Инвест-Екб;developer;https://ekb.cian.ru/sale/flat/309611563/;Екатеринбург;sale;flat;3;18;2;58.5;9652500;Железнодорожный;;;Уральская;Галактика ЖК
Новосёл;real_estate_agent;https://ekb.cian.ru/sale/flat/313618373/;Екатеринбург;sale;flat;29;31;2;46.0;7600000;Верх-Исетский;;;Геологическая;Русь-2 ЖК
РАЗУМ;developer;https://ekb.cian.ru/sale/flat/313983421/;Екатеринбург;sale;flat;2;29;2;49.0;7910000;Чкаловский;;;Ботаническая;Разум на Титова ЖК
ЛИНК;real_estate_agent;https://ekb.cian.ru/sale/flat/314627846/;Екатеринбург;sale;flat;13;26;2;59.0;7990000;Орджоникидзевский; Старых Большевиков;3В;Машиностроителей;
Стройтэк;developer;https://ekb.cian.ru/sale/flat/313217240/;Екатеринбург;sale;flat;17;33;2;52.49;9340000;Кировский;;;Динамо;Динамика ЖК
Самолет Плюс Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/314093558/;Екатеринбург;sale;flat;8;30;2;58.3;8118000;Чкаловский;;;Ботаническая;Река. Дом на набережной ЖК
СКМ Девелопмент;developer;https://ekb.cian.ru/sale/flat/309098179/;Екатеринбург;sale;flat;3;31;2;64.92;10300000;Кировский;;;Уральская;Б26 ЖК
Самолет Плюс Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/314383976/;Екатеринбург;sale;flat;22;30;2;52.7;8393000;Чкаловский;;;Ботаническая;Река. Дом на набережной ЖК
АТОМ;developer;https://ekb.cian.ru/sale/flat/314197283/;Екатеринбург;sale;flat;25;26;2;54.96;7700000;; Николая Кичигина;7/3;Чкаловская;NOVA park
Новосёл;real_estate_agent;https://ekb.cian.ru/sale/flat/314530443/;Екатеринбург;sale;flat;14;19;2;57.0;8500000;Кировский; Библиотечная;45;Площадь 1905 года;Микрорайон 
АТОМ;developer;https://ekb.cian.ru/sale/flat/316114238/;Екатеринбург;sale;flat;2;26;2;65.0;8000000;Чкаловский; Щербакова;148/2;Ботаническая;River Park
Самолет Плюс Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/314093565/;Екатеринбург;sale;flat;8;30;2;64.8;8550000;Чкаловский;;;Ботаническая;Река. Дом на набережной ЖК
Atlas Development;developer;https://ekb.cian.ru/sale/flat/297300125/;Екатеринбург;sale;flat;31;31;2;42.7;9360985;Октябрьский; Онежская;4;Ботаническая;4YOU
Наталья Васильева;realtor;https://ekb.cian.ru/sale/flat/315491470/;Екатеринбург;sale;flat;13;14;2;52.9;8900000;; Академика Ландау;38/2;Геологическая;Олимпика
АТОМ;developer;https://ekb.cian.ru/sale/flat/311656127/;Екатеринбург;sale;flat;4;14;2;60.16;8500000;Ленинский;Краснолесье мкр;;Чкаловская;Балтийский ЖК
Самолет Плюс Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/314132611/;Екатеринбург;sale;flat;19;22;2;66.57;8900000;Кировский;;;Динамо;Теплые Кварталы ЖК
ID 129770358;realtor;https://ekb.cian.ru/sale/flat/316050054/;Екатеринбург;sale;flat;5;5;2;48.0;4990000;Кировский; Уральская;68к1;;
ID 15663092;realtor;https://ekb.cian.ru/sale/flat/315341505/;Екатеринбург;sale;flat;2;5;2;46.3;4500000;Верх-Исетский; Шаумяна;105к1;Чкаловская;
РСГ-Академическое;developer;https://ekb.cian.ru/sale/flat/314419296/;Екатеринбург;sale;flat;10;10;2;47.9;8356254;; Академика Ландау;53/3;Чкаловская;Кварталы Конструктивизма
Формат;real_estate_agent;https://ekb.cian.ru/sale/flat/314920010/;Екатеринбург;sale;flat;2;5;2;44.0;4420000;Орджоникидзевский; Машиностроителей;41;Уралмаш;
Гармония Вашего Дома;real_estate_agent;https://ekb.cian.ru/sale/flat/315980230/;Екатеринбург;sale;flat;2;5;2;42.6;4090000;Орджоникидзевский; Лукиных;4;Уралмаш;
Гринвич;developer;https://ekb.cian.ru/sale/flat/315560271/;Екатеринбург;sale;flat;3;25;2;61.87;8950000;Кировский;;;Уральская;Теплые Кварталы ЖК
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/315942079/;Екатеринбург;sale;flat;2;10;2;61.6;9700000;Чкаловский; Академика Шварца;20к4;Ботаническая;
Новосёл;real_estate_agent;https://ekb.cian.ru/sale/flat/313941403/;Екатеринбург;sale;flat;4;5;2;43.0;4200000;Орджоникидзевский; Ильича;50А;Проспект Космонавтов;
Atlas Development;developer;https://ekb.cian.ru/sale/flat/302539325/;Екатеринбург;sale;flat;23;30;2;60.8;12935507;; Московская;249/2;Чкаловская;Парк Столиц
Бизнес контакт;real_estate_agent;https://ekb.cian.ru/sale/flat/315636833/;Екатеринбург;sale;flat;4;5;2;43.9;4300000;Кировский; Уральская;52к1;Уральская;
Корпорация Маяк;developer;https://ekb.cian.ru/sale/flat/308340576/;Екатеринбург;sale;flat;12;17;2;88.8;19665000;Октябрьский; Декабристов;20;Геологическая;Архитектон
Наталья Васильева;realtor;https://ekb.cian.ru/sale/flat/314682659/;Екатеринбург;sale;flat;13;52;2;92.3;33000000;Центр; Бориса Ельцина;6;Площадь 1905 года;Башня 
Гармония Вашего Дома;real_estate_agent;https://ekb.cian.ru/sale/flat/307954248/;Екатеринбург;sale;flat;3;5;2;42.1;4449000;Орджоникидзевский;проспект Космонавтов;63;Проспект Космонавтов;
Гринвич;representative_developer;https://ekb.cian.ru/sale/flat/315560264/;Екатеринбург;sale;flat;3;29;2;54.44;10479700;; Шаумяна;11;Чкаловская;Дом 
Самолет Плюс Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/314435604/;Екатеринбург;sale;flat;3;16;2;52.8;6250000;Железнодорожный; Надеждинская;26;Уральская;
Invest Development;real_estate_agent;https://ekb.cian.ru/sale/flat/315362498/;Екатеринбург;sale;flat;2;5;2;43.8;4500000;Орджоникидзевский; Фрезеровщиков;27;Проспект Космонавтов;
Кулиговская и Партнёры;real_estate_agent;https://ekb.cian.ru/sale/flat/308435522/;Екатеринбург;sale;flat;21;52;2;78.4;29000000;Центр; Бориса Ельцина;6;Площадь 1905 года;
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/304921458/;Екатеринбург;sale;flat;6;11;2;76.2;10900000;Верх-Исетский; Репина;107;Геологическая;
УГМК-Застройщик;developer;https://ekb.cian.ru/sale/flat/310223326/;Екатеринбург;sale;flat;2;28;2;77.7;16582000;Верх-Исетский;;;Площадь 1905 года;Нагорный
NOVA DOM;real_estate_agent;https://ekb.cian.ru/sale/flat/315045437/;Екатеринбург;sale;flat;4;9;2;33.8;4500000;Верх-Исетский; Крауля;13;Площадь 1905 года;
