author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/308048352/;Санкт-Петербург;sale;flat;9;9;1;49.9;23802300;Выборгский; Александра Матросова;3;Лесная;Притяжение
CENTRE REALTY NEWHOUSE;real_estate_agent;https://spb.cian.ru/sale/flat/315901784/;Санкт-Петербург;sale;flat;12;12;1;36.4;15100000;Василеостровский;Уральская ;21;Приморская;Эмеральд на Малой Неве
Golden Home;real_estate_agent;https://spb.cian.ru/sale/flat/306695534/;Санкт-Петербург;sale;flat;3;4;1;30.4;5400000;Кировский; Танкиста Хрустицкого;96;Проспект Ветеранов;
BEYOND. ex-Engel Volkers;real_estate_agent;https://spb.cian.ru/sale/flat/313908876/;Санкт-Петербург;sale;flat;1;7;1;83.7;109200000;Адмиралтейский;Конногвардейский бульвар;5;Адмиралтейская;Монферран
ID 128927379;representative_developer;https://spb.cian.ru/sale/flat/315105122/;Санкт-Петербург;sale;flat;9;24;1;40.91;5950000;Невский;проспект Большевиков;уч3;Улица Дыбенко;Про.Молодость
GloraX;developer;https://spb.cian.ru/sale/flat/313600627/;Санкт-Петербург;sale;flat;9;15;1;45.9;13079999;Красногвардейский;проспект Энергетиков;2к2;;Апарт-отель GloraX Заневский
Proflat;real_estate_agent;https://spb.cian.ru/sale/flat/313398498/;Санкт-Петербург;sale;flat;3;5;1;46.1;15990000;Курортный; Инструментальщиков;18;Беговая;BEREG.Курортный
Колвэй;real_estate_agent;https://spb.cian.ru/sale/flat/302452241/;Санкт-Петербург;sale;flat;3;14;1;45.4;7300000;Приморский;Шуваловский проспект;59К3;Комендантский проспект;
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/303025986/;Санкт-Петербург;sale;flat;5;8;1;40.5;19440000;Петроградский;Петровский проспект;28к1;Крестовский остров;Grand View
Proflat;real_estate_agent;https://spb.cian.ru/sale/flat/309412105/;Санкт-Петербург;sale;flat;10;12;1;33.75;10399999;Невский;Невская застава;;Елизаровская;Астра Континенталь ЖК
Решение;real_estate_agent;https://spb.cian.ru/sale/flat/311416502/;Санкт-Петербург;sale;flat;1;4;1;39.38;6800000;Петродворцовый;м. Ленинский проспект;;Ленинский проспект;Любоград ЖК
ГК Стоун;representative_developer;https://spb.cian.ru/sale/flat/307260103/;Санкт-Петербург;sale;flat;7;9;1;44.0;5325000;Пушкинский;Московское шоссе;256к5;Шушары;Вариант
Albut недвижимость;real_estate_agent;https://spb.cian.ru/sale/flat/315971157/;Санкт-Петербург;sale;flat;9;10;1;43.1;7600000;Фрунзенский;Малая Балканская ;50к1;Дунайская;
ID 54834530;homeowner;https://spb.cian.ru/sale/flat/315952216/;Санкт-Петербург;sale;flat;7;22;1;34.5;9000000;Красногвардейский;проспект Энергетиков;9к6;Ладожская;ЗимаЛето
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/315355038/;Санкт-Петербург;sale;flat;17;17;1;44.7;15390210;Василеостровский;Гавань;;Приморская;Морская Набережная ЖК
Мир Квартир PREMIUM;real_estate_agent;https://spb.cian.ru/sale/flat/279417383/;Санкт-Петербург;sale;flat;3;15;1;56.0;15500000;Приморский;Дибуновская ;50;Старая Деревня;
Каменев Про Квартиры;real_estate_agent;https://spb.cian.ru/sale/flat/313344643/;Санкт-Петербург;sale;flat;4;9;1;36.9;6490000;Выборгский;Сиреневый бульвар;2К1;Проспект Просвещения;
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/314663560/;Санкт-Петербург;sale;flat;3;12;1;30.33;7600091;Приморский;Коломяги;;Проспект Просвещения;Бионика Заповедная
Решение;real_estate_agent;https://spb.cian.ru/sale/flat/310613908/;Санкт-Петербург;sale;flat;2;13;1;46.24;8555500;Приморский;аллея Арцеуловская;9;Комендантский проспект;Полис Приморский 2
ВАРИАНТ;real_estate_agent;https://spb.cian.ru/sale/flat/316125265/;Санкт-Петербург;sale;flat;7;12;1;33.3;6250000;Калининский; Руставели;58К1;Гражданский проспект;
Sever Group;real_estate_agent;https://spb.cian.ru/sale/flat/315237755/;Санкт-Петербург;sale;flat;2;14;1;35.3;8799999;Невский; Бадаева;14к1;Проспект Большевиков;Бадаева-Ворошилова
ID 101299737;homeowner;https://spb.cian.ru/sale/flat/314700293/;Санкт-Петербург;sale;flat;2;5;1;31.6;7250000;Московский;Кубинская ;26;Парк Победы;
LEGENDA Development;developer;https://spb.cian.ru/sale/flat/312896043/;Санкт-Петербург;sale;flat;7;9;1;51.13;27743050;Приморский;набережная Черной речки;35;Черная речка;Черная речка, 41
МЁД;real_estate_agent;https://spb.cian.ru/sale/flat/316061072/;Санкт-Петербург;sale;flat;3;23;1;32.6;8700000;Невский;Октябрьская набережная;44;Улица Дыбенко;Полис на Неве
ЛенКвартирТорг;real_estate_agent;https://spb.cian.ru/sale/flat/314096446/;Санкт-Петербург;sale;flat;6;9;1;30.2;5350000;Невский; Подвойского;50к2;Улица Дыбенко;
Надо Брать;real_estate_agent;https://spb.cian.ru/sale/flat/310321521/;Санкт-Петербург;sale;flat;6;8;1;67.3;32500000;Петроградский;Петровский проспект;22к2;Крестовский остров;Familia
ID 103770695;unknown;https://spb.cian.ru/sale/flat/314724390/;Санкт-Петербург;sale;flat;4;23;1;38.0;4970000;Красногвардейский; Корнея Чуковского;7к1;Девяткино;
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/312285628/;Санкт-Петербург;sale;flat;5;11;1;37.0;14566900;Адмиралтейский;Измайловское;;Фрунзенская;ЛСР. Измайловский
Петербургская Недвижимость;real_estate_agent;https://spb.cian.ru/sale/flat/308287152/;Санкт-Петербург;sale;flat;5;14;1;34.65;8590000;Приморский;аллея Арцеуловская;17;Комендантский проспект;Чистое небо
Ленстроймонолит;real_estate_agent;https://spb.cian.ru/sale/flat/313820159/;Санкт-Петербург;sale;flat;7;9;1;30.8;6220000;Невский;проспект Большевиков;19Ш;Улица Дыбенко;
Интеском;developer;https://spb.cian.ru/sale/flat/309188603/;Санкт-Петербург;sale;flat;2;5;1;43.5;11418750;Выборгский; Береговая;6;Проспект Просвещения;Loft у Озера
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/315766036/;Санкт-Петербург;sale;flat;2;12;1;31.92;9900195;Московский;Кубинская ;76к1;Ленинский проспект;Сенат
ДомИн;real_estate_agent;https://spb.cian.ru/sale/flat/314169362/;Санкт-Петербург;sale;flat;3;9;1;32.8;6150000;Выборгский;проспект Просвещения;20/25;Проспект Просвещения;
БФА-Девелопмент;developer;https://spb.cian.ru/sale/flat/315850539/;Санкт-Петербург;sale;flat;2;20;1;33.05;9400000;Красносельский; Маршала Захарова;8;Автово;Огни Залива
Этажи Санкт-Петербург;real_estate_agent;https://spb.cian.ru/sale/flat/313730623/;Санкт-Петербург;sale;flat;10;21;1;32.9;6200000;Невский; Русановская;17к2;Ломоносовская;Ласточкино гнездо
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/315985237/;Санкт-Петербург;sale;flat;3;4;1;29.88;7850014;Петродворцовый;;;Автово;Дворцовый фасад ЖК
TOWN GROUP;real_estate_agent;https://spb.cian.ru/sale/flat/314038288/;Санкт-Петербург;sale;flat;8;9;1;29.4;6200000;Фрунзенский 1-комн. квартира;8/9 этаж;8/9 этаж;;
Главстрой;developer;https://spb.cian.ru/sale/flat/313107391/;Санкт-Петербург;sale;flat;22;27;1;34.8;8367486;Выборгский;проезд Толубеевский;34к2;Проспект Просвещения;Северная долина
ПАН Партнер;real_estate_agent;https://spb.cian.ru/sale/flat/314107876/;Санкт-Петербург;sale;flat;8;9;1;32.6;6200000;Фрунзенский; Олеко Дундича;10К1;Купчино;
